NAME,ORIGIN,RACE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Maine,1,2,6712,7602,8548,9842,10817,11844,12812,13709,14631,15259,15427
Maine,1,3,7006,7154,7286,7451,7511,7666,7780,7920,8113,8206,8233
Maine,1,4,9304,9757,10327,10859,11428,11909,12276,12552,13031,13290,13592
Maine,1,5,337,335,357,345,332,339,350,344,322,321,300
Maine,1,6,10338,11024,11847,12724,13527,14325,15122,15947,16836,17697,18375
Maine,2,0,9421,10490,11465,12520,13464,14307,15085,15794,16499,17117,17183
Maine,2,1,8116,8981,9780,10740,11592,12219,12851,13427,13976,14314,14268
Maine,2,2,519,587,620,611,634,713,729,756,776,891,812
Maine,2,3,220,283,325,350,367,399,433,451,472,560,503
Maine,2,4,138,147,157,162,166,182,179,187,190,202,193
Maine,2,5,62,62,60,68,67,50,55,54,62,64,71
Maine,2,6,366,430,523,589,638,744,838,919,1023,1086,1336
Maryland,1,0,5079879,5123340,5166504,5198704,5224040,5241630,5247905,5247222,5254590,5277604,5312133
Maryland,1,1,3303171,3303591,3303164,3294980,3279756,3258379,3231348,3202869,3181666,3168869,3167885
Maryland,1,2,1480732,1507924,1535080,1558941,1583006,1605220,1622912,1635494,1647958,1666418,1685375
Maryland,1,3,13720,13771,13867,13863,13887,13991,14026,14050,14001,14150,14118
Maryland,1,4,216619,227252,238537,249706,260851,271907,281870,291535,301466,312464,323314
Maryland,1,5,2039,2133,2200,2304,2373,2432,2508,2514,2641,2613,2602
Maryland,1,6,63598,68669,73656,78910,84167,89701,95241,100760,106858,113090,118839
Maryland,2,0,231155,251351,273885,297565,322895,350749,379462,406186,430375,452784,473849
Maryland,2,1,195284,210949,228657,246616,265285,285679,306427,325839,344447,362148,377890
Maryland,2,2,24014,25697,27566,30262,33798,37615,41954,45487,47675,49003,51066
Maryland,2,3,3441,4712,6009,7270,8553,9868,11219,12624,14007,15621,16911
Maryland,2,4,2115,2393,2704,2986,3320,3769,4268,4763,4980,5081,5357
Maryland,2,5,760,940,1081,1252,1420,1741,1987,2242,2455,2570,2813
Maryland,2,6,5541,6660,7868,9179,10519,12077,13607,15231,16811,18361,19812
Massachusetts,1,0,5927493,5942473,5943391,5931658,5905992,5881303,5869140,5870510,5884219,5908202,5925374
Massachusetts,1,1,5259484,5247793,5225534,5193605,5150234,5106950,5074376,5055221,5045167,5043222,5039103
Massachusetts,1,2,348115,356184,363839,370418,375104,380834,387558,394610,402632,411330,418221
Massachusetts,1,3,12107,12140,12099,12058,11996,11870,11834,11740,11731,11715,11752
Massachusetts,1,4,246279,261021,273118,283334,293124,302591,312401,321778,333072,345716,356132
Massachusetts,1,5,2242,2313,2301,2366,2320,2406,2411,2458,2467,2492,2499
Massachusetts,1,6,59266,63022,66500,69877,73214,76652,80560,84703,89150,93727,97667
Massachusetts,2,0,433611,455161,473815,490907,506289,521987,540944,561049,584748,609411,631880
Massachusetts,2,1,350656,365798,379030,390693,400819,411406,424793,439025,455850,473930,490923
Massachusetts,2,2,60240,63772,66665,69419,71759,73920,76458,79092,82320,85228,87844
Massachusetts,2,3,5715,6904,8061,9258,10460,11741,12952,14239,15607,17106,18320
Massachusetts,2,4,2685,3008,3184,3350,3608,3854,4179,4388,4770,5136,5410
