REGION,DIVISION,STATE,NAME,RACE,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004,POPESTIMATE2005,POPESTIMATE2006,POPESTIMATE2007,POPESTIMATE2008,POPESTIMATE2009,POPESTIMATE2010
1,1,23,Maine,4,9442,9904,10484,11021,11594,12091,12455,12739,13221,13492,13785
1,1,23,Maine,5,399,397,417,413,399,389,405,398,384,385,371
1,1,23,Maine,6,10704,11454,12370,13313,14165,15069,15960,16866,17859,18783,19711
3,5,24,Maryland,0,5311034,5374691,5440389,5496269,5546935,5592379,5627367,5653408,5684965,5730388,5785982
3,5,24,Maryland,1,3498455,3514540,3531821,3541596,3545041,3544058,3537775,3528708,3526113,3531017,3545775
3,5,24,Maryland,2,1504746,1533621,1562646,1589203,1616804,1642835,1664866,1680981,1695633,1715421,1736441
3,5,24,Maryland,3,17161,18483,19876,21133,22440,23859,25245,26674,28008,29771,31029
3,5,24,Maryland,4,218734,229645,241241,252692,264171,275676,286138,296298,306446,317545,328671
3,5,24,Maryland,5,2799,3073,3281,3556,3793,4173,4495,4756,5096,5183,5415
3,5,24,Maryland,6,69139,75329,81524,88089,94686,101778,108848,115991,123669,131451,138651
1,1,25,Massachusetts,0,6361104,6397634,6417206,6422565,6412281,6403290,6410084,6431559,6468967,6517613,6557254
1,1,25,Massachusetts,1,5610140,5613591,5604564,5584298,5551053,5518356,5499169,5494246,5501017,5517152,5530026
1,1,25,Massachusetts,2,408355,419956,430504,439837,446863,454754,464016,473702,484952,496558,506065
1,1,25,Massachusetts,3,17822,19044,20160,21316,22456,23611,24786,25979,27338,28821,30072
1,1,25,Massachusetts,4,248964,264029,276302,286684,296732,306445,316580,326166,337842,350852,361542
1,1,25,Massachusetts,5,4705,4906,4912,5032,5177,5314,5331,5561,5709,5852,5990
1,1,25,Massachusetts,6,71118,76108,80764,85398,90000,94810,100202,105905,112109,118378,123559
2,3,26,Michigan,0,9952450,9991120,10015710,10041152,10055315,10051137,10036081,10001284,9946889,9901591,9877574
2,3,26,Michigan,1,8143698,8158479,8162776,8167476,8164812,8147170,8120608,8079951,8025124,7976600,7940400
2,3,26,Michigan,2,1429866,1436646,1439399,1442059,1443419,1441842,1439518,1434092,1424533,1416742,1417247
2,3,26,Michigan,3,60595,61157,61986,62692,63406,64111,64939,65488,66007,67044,68523
2,3,26,Michigan,4,182935,192444,201968,212096,219583,226726,232374,236100,238669,241042,244017
2,3,26,Michigan,5,3123,3250,3319,3381,3439,3436,3486,3529,3528,3551,3469
2,3,26,Michigan,6,132233,139144,146262,153448,160656,167852,175156,182124,189028,196612,203918
2,4,27,Minnesota,0,4933692,4982796,5018935,5053572,5087713,5119598,5163555,5207203,5247018,5281203,5310584
2,4,27,Minnesota,1,4484113,4509697,4523713,4536583,4547732,4556199,4573137,4589755,4604227,4616560,4627324
2,4,27,Minnesota,2,181181,192058,201763,211770,222195,232332,244813,256837,267143,275631,281651
2,4,27,Minnesota,3,56350,57339,58304,59270,60355,61741,63037,64451,65919,66335,67509
2,4,27,Minnesota,4,147466,154904,162072,168583,175414,182424,190292,198113,205594,212611,218914
2,4,27,Minnesota,5,2247,2347,2449,2462,2544,2659,2808,2896,2969,3029,2969
2,4,27,Minnesota,6,62335,66451,70634,74904,79473,84243,89468,95151,101166,107037,112217
3,6,28,Mississippi,0,2848353,2852994,2858681,2868312,2889010,2905943,2904978,2928350,2947806,2958774,2970036
3,6,28,Mississippi,1,1762713,1762488,1763314,1766235,1775608,1782506,1770305,1779214,1785548,1788908,1789518
3,6,28,Mississippi,2,1037743,1040145,1042311,1046235,1054419,1061415,1070798,1082126,1092190,1097005,1105267
3,6,28,Mississippi,3,11964,12457,12935,13497,14080,14509,15013,15424,15949,16367,16845
3,6,28,Mississippi,4,19240,19712,20443,21240,22205,23242,23300,24322,25196,26063,26578
3,6,28,Mississippi,5,759,861,974,1056,1158,1219,1343,1429,1507,1689,1701
3,6,28,Mississippi,6,15934,17331,18704,20049,21540,23052,24219,25835,27416,28742,30127
2,4,29,Missouri,0,5607285,5641142,5674825,5709403,5747741,5790300,5842704,5887612,5923916,5961088,5996231
2,4,29,Missouri,1,4811076,4829908,4848677,4868796,4891042,4917028,4951012,4980125,5001808,5023152,5042425
2,4,29,Missouri,2,637132,643919,650232,656313,663205,669907,678128,684018,689311,695364,702033
2,4,29,Missouri,3,25897,26402,26783,27219,27818,28216,28695,29155,29675,30081,30689
2,4,29,Missouri,4,63910,67331,71028,74689,78638,82736,87067,90822,94108,97477,100746
2,4,29,Missouri,5,3409,3693,4112,4346,4689,5116,5567,5958,6414,6636,7198
2,4,29,Missouri,6,65861,69889,73993,78040,82349,87297,92235,97534,102600,108378,113140
4,8,30,Montana,0,903773,906961,911667,919630,930009,940102,952692,964706,976415,983982,990898
4,8,30,Montana,1,825459,826639,829714,835759,844155,852189,862738,872545,882291,887526,892610
4,8,30,Montana,2,2797,3154,3372,3619,3863,3899,4107,4192,4282,4354,4205
4,8,30,Montana,3,56528,57048,57582,58241,58900,59782,60364,61181,61852,62711,63604
4,8,30,Montana,4,4883,5119,5225,5339,5561,5685,5857,6034,6205,6429,6383
4,8,30,Montana,5,488,538,564,585,642,641,695,731,732,787,721
4,8,30,Montana,6,13618,14463,15210,16087,16888,17906,18931,20023,21053,22175,23375
2,4,31,Nebraska,0,1713820,1719836,1728292,1738643,1749370,1761497,1772693,1783440,1796378,1812683,1830429
2,4,31,Nebraska,1,1587253,1588686,1592778,1598208,1604000,1611295,1616934,1622610,1629008,1639946,1652413
2,4,31,Nebraska,2,70299,71746,72870,74415,75843,77334,79189,80643,82903,84684,86242
2,4,31,Nebraska,3,15767,16485,17053,17723,18474,19280,20319,21165,22480,22862,23451
2,4,31,Nebraska,4,22816,23748,25028,26259,27369,28294,29115,30100,31152,32247,33486
