,YEAR,STATE,AGE,STD,Population,"STD Rate per 100,000 People","STD Rate per 100,000 People (Adjusted)"
412,2012,Ohio,15-19,23124.0,3051259.0,757.8511034297646,324.9349252747974
413,2012,Ohio,under 19,24083.0,3051259.0,789.2807526335849,356.3645744786177
414,2012,Oklahoma,0-14,212.0,1037401.0,20.435684947286536,-412.4804932076807
415,2012,Oklahoma,15-19,6385.0,1037401.0,615.4804169265308,182.56423877156357
416,2012,Oklahoma,under 19,6597.0,1037401.0,635.9161018738174,202.9999237188502
417,2012,Oregon,0-14,121.0,967636.0,12.504702181398793,-420.41147597356843
418,2012,Oregon,15-19,4292.0,967636.0,443.5552211782117,10.639043023244483
419,2012,Oregon,under 19,4413.0,967636.0,456.0599233596105,23.143745204643267
420,2012,Pennsylvania,0-14,1037.0,3172710.0,32.68499169479719,-400.23118646017
421,2012,Pennsylvania,15-19,23267.0,3172710.0,733.347831979601,300.43165382463377
422,2012,Pennsylvania,under 19,24304.0,3172710.0,766.0328236743982,333.11664551943096
423,2012,Rhode Island,0-14,42.0,260847.0,16.101392770474646,-416.81478538449255
424,2012,Rhode Island,15-19,1528.0,260847.0,585.784003649649,152.86782549468177
425,2012,Rhode Island,under 19,1570.0,260847.0,601.8853964201237,168.96921826515648
426,2012,South Carolina,0-14,364.0,1219620.0,29.845361670028367,-403.07081648493886
427,2012,South Carolina,15-19,10693.0,1219620.0,876.7484954330038,443.83231727803656
428,2012,South Carolina,under 19,11057.0,1219620.0,906.593857103032,473.67767894806474
429,2012,South Dakota,0-14,53.0,226535.0,23.3959432317302,-409.520234923237
430,2012,South Dakota,15-19,1358.0,226535.0,599.4658662016907,166.54968804672347
431,2012,South Dakota,under 19,1411.0,226535.0,622.8618094334208,189.94563127845362
432,2012,Tennessee,0-14,475.0,1669908.0,28.4446807848097,-404.4714973701575
433,2012,Tennessee,15-19,13377.0,1669908.0,801.0620944387356,368.1459162837684
434,2012,Tennessee,under 19,13852.0,1669908.0,829.5067752235452,396.590597068578
435,2012,Texas,0-14,1806.0,7604983.0,23.747587601445,-409.1685905535222
436,2012,Texas,15-19,48092.0,7604983.0,632.374852119985,199.4586739650178
437,2012,Texas,under 19,49898.0,7604983.0,656.12243972143,223.20626156646284
438,2012,Utah,0-14,70.0,956605.0,7.317544859163394,-425.59863329580384
439,2012,Utah,15-19,2207.0,956605.0,230.71173577390877,-202.20444238105844
440,2012,Utah,under 19,2277.0,956605.0,238.02928063307215,-194.88689752189507
441,2012,Vermont,0-14,6.0,149737.0,4.007025651642547,-428.90915250332466
442,2012,Vermont,15-19,497.0,149737.0,331.9152914777243,-101.00088667724293
443,2012,Vermont,under 19,503.0,149737.0,335.92231712936683,-96.99386102560038
444,2012,Virginia,0-14,325.0,2084014.0,15.594904832693064,-417.3212733222741
445,2012,Virginia,15-19,11823.0,2084014.0,567.3186456520925,134.40246749712531
446,2012,Virginia,under 19,12148.0,2084014.0,582.9135504847857,149.99737232981846
447,2012,Washington,0-14,200.0,1761074.0,11.356706191789783,-421.55947196317743
448,2012,Washington,15-19,6853.0,1761074.0,389.1375376616769,-43.77864049329031
449,2012,Washington,under 19,7053.0,1761074.0,400.4942438534667,-32.42193430150053
450,2012,West Virginia,0-14,43.0,438718.0,9.801284652099982,-423.11489350286723
451,2012,West Virginia,15-19,1808.0,438718.0,412.1098290929481,-20.806349062019137
452,2012,West Virginia,under 19,1851.0,438718.0,421.9111137450481,-11.0050644099191
453,2012,Wisconsin,0-14,307.0,1498356.0,20.4891227451954,-412.4270554097718
454,2012,Wisconsin,15-19,8530.0,1498356.0,569.2906091743217,136.37443101935452
455,2012,Wisconsin,under 19,8837.0,1498356.0,589.7797319195171,156.86355376454986
456,2012,Wyoming,0-14,19.0,151217.0,12.564724865590508,-420.3514532893767
457,2012,Wyoming,15-19,713.0,151217.0,471.50783311400176,38.59165495903454
458,2012,Wyoming,under 19,732.0,151217.0,484.07255797959226,51.15637982462505
