"State, Year",abortion_rate,birth_rate,pregnancy_rate,"HIV Rate per 100,000","STD Rate per 100,000 People"
"South Dakota, 2007",6.3,41.3,56.5,,
"Tennessee, 2007",11.6,53.4,76.8,,
"Texas, 2007",14.6,61.8,90.1,,
"Utah, 2007",6.2,35.4,49.2,,
"Vermont, 2007",12.8,21,39.3,,
"Virginia, 2007",16.9,34.2,59.6,,
"Washington, 2007",20.6,33.3,62.6,,
"West Virginia, 2007",8.5,45.8,64.3,,
"Wisconsin, 2007",8.2,31.1,46.3,,
"Wyoming, 2007",11.3,49.9,72.3,,
"Alabama, 2008",11.3,50.5,73.1,21.3,
"Alaska, 2008",14.8,44.2,69.3,3.7,
"Arizona, 2008",15.3,54.5,82.3,10.6,
"Arkansas, 2008",9.8,59.8,82.5,9.4,
"California, 2008",25.1,37.9,73,14.3,
"Colorado, 2008",16,40.5,66.2,6.7,
"Connecticut, 2008",26,22.6,55.7,9,
"Delaware, 2008",32.7,38.3,81.9,17,
"District of Columbia, 2008",46.8,51.1,112.9,145.9,
"Florida, 2008",23.1,40,73.4,29.4,
"Georgia, 2008",16.5,50,78.2,39.2,
"Hawaii, 2008",27.2,38.9,76.6,5.4,
"Idaho, 2008",8.4,39.6,56.8,4.8,
"Illinois, 2008",19.9,38.5,68.1,17.9,
"Indiana, 2008",8.4,41.2,58.6,8.2,
"Iowa, 2008",10,33.4,51,2.9,
"Kansas, 2008",9.1,44.1,63,5,
"Kentucky, 2008",7,52.5,70.8,10.4,
"Louisiana, 2008",14.1,54,80.3,29.9,
"Maine, 2008",11.9,25,43,2.9,
"Maryland, 2008",22.3,32.6,63.6,34.5,
"Massachusetts, 2008",17.2,19.8,42.7,7.6,
"Michigan, 2008",17.8,32.3,58.4,12.3,
"Minnesota, 2008",9.8,26.5,42.5,6.5,
"Mississippi, 2008",11.9,64,89.9,28,
"Missouri, 2008",11.3,43.5,64.7,13.5,
"Montana, 2008",11.3,38.9,59.1,0,
"Nebraska, 2008",6.9,35.8,50.6,3.7,
"Nevada, 2008",23.5,49.1,84.7,14.2,
"New Hampshire, 2008",9.5,19.1,33.3,2.7,
"New Jersey, 2008",30.3,24,62.1,16.1,
"New Mexico, 2008",17.4,61.4,92.9,7.6,
"New York, 2008",37.4,25.5,71.7,25.2,
"North Carolina, 2008",14.3,47.3,72.4,19.2,
